"Page","Impressions","Clicks","CTR","Avg. Position"
"https://docta.me/doctors/janjic-vladimir","2","1","50%","5"
"https://docta.me/labtests/borrelia-burgdorferi-igg-igm-panel","2","0","0%","5"
"https://docta.me/doctors/dervisevic-sezana","2","0","0%","7"
"https://docta.me/doctors/alma-crnovrsanin?lang=en","2","1","50%","1"
"https://docta.me/clinics/dental-studio-vucetic","2","0","0%","4"
"https://docta.me/doctors/suzana-uskokovic","2","1","50%","1.5"
"https://docta.me/doctors/sabahudin-pupovic?lang=en","2","1","50%","2.5"
"https://docta.me/doctors/nikola-barovic","2","0","0%","4"
"https://docta.me/doctors/marina-ratkovic","2","0","0%","3"
"https://docta.me/services/vestibular-plate","2","0","0%","2"
"https://docta.me/services/primary-hand-extensor-tendon-repair","2","1","50%","6.5"
"https://docta.me/doctors/milana-soc","2","1","50%","1.5"
"https://docta.me/clinics/humana-reprodukcija-budva","2","1","50%","4.5"
"https://docta.me/services/hickman-permanent-dialysis-catheter-placement","2","1","50%","6"
"https://docta.me/doctors/oleg-lakovic","2","0","0%","1"
"https://docta.me/doctors/vukadinovic-snezana","2","1","50%","3"
"https://docta.me/labtests/pap-papanicolaou-test","2","1","50%","2"
"https://docta.me/doctors/nenad-stepic?lang=en","2","1","50%","2"
"https://docta.me/insurance-companies/sava","2","0","0%","8.5"
"https://docta.me/doctors/mitic-lakusic-vesna","2","1","50%","3"
"https://docta.me/doctors/almir-rebronja","2","1","50%","1.5"
"https://docta.me/services/doppler-neck-blood-vessels","2","0","0%","10"
"https://docta.me/doctors/jelena-milonjic?lang=sr-cyrl","2","2","100%","2"
"https://docta.me/doctors/drasko-vukovic","2","2","100%","1.5"
"https://docta.me/doctors/lidija-ljubisa-maslovar","2","0","0%","10"
"https://docta.me/doctors/novosel-dusanka","2","0","0%","3.5"
"https://docta.me/clinics/specijalna-bolnica-za-psihijatriju-dobrota-kotor?lang=en","2","0","0%","6"
"https://docta.me/services/abdomen-ultrasound","2","0","0%","1.5"
"https://docta.me/services/capillaroscopy?lang=en","2","0","0%","4"
"https://docta.me/clinics/primus-medical-podgorica","2","0","0%","9"
"https://docta.me/doctors/djurovic-dragan?lang=en","2","0","0%","3.5"
"https://docta.me/medicines/vigamox","2","1","50%","1"
"https://docta.me/clinics/altabella-health-beauty-studio-budva","2","0","0%","7.5"
"https://docta.me/doctors/snezana-vujosevic?lang=en","2","2","100%","3"
"https://docta.me/services/holter-ecg-24h?lang=en","2","0","0%","7"
"https://docta.me/doctors/biljana-andrijasevic","2","0","0%","1.5"
"https://docta.me/doctors/milena-dapcevic","2","1","50%","5"
"https://docta.me/services/partial-denture?lang=en","2","0","0%","5.5"
"https://docta.me/doctors/dragana-kastratovic?lang=en","2","0","0%","3"
