X01021_TBC	Lokalno apliciranje lijeka (subkutano i intramuskularno) (TBC)	
X01022	Direktno opservirana terapija za TBC (DOTs)	7100
X02001	Ispitivanje kožne preosjetljivosti na inhalacione alergene (alergološko prick - testiranje)	1995
X02011_TBC	Snimanje i čitanje spirometrije (TBC)	
X02012	Bronhodilatacijski testovi	1989
X02013_DIAG	Dijagnostička punkcija pleure	7103
X02014	Terapijska punkcija pleure	3604
X02015	Evakuaciona punkcija pleure	5325
X03011	Uzimanje sputuma za citološku analizu	5301
M01001	Manuelna segmentna masaža	5139
M01002	Manuelna limfna drenaža	7383
M01003	Aparaturna masaža	
M01004	Krioterapija i kriomasaža	7385
M01005	Manuelni mišični test, po ekstremitetu	
M01006	Zračenje infracrvenim, ultravioletnim i bioptrom lampom	
M01007	Parafin i fango terapija	7387
M01008	Galvanizacija	7388
M01009	Elektroforeza	
M01010	Diadinamske struje	
M01011	Transkutana nervna stimulacija	
M01012	KTD	
M01013	Mikrotalasna diatermija	
M01014	Sonoforeza	5149
M01015	Elektrostimulacija mišića	7392
M01016	Uvježbavanje aktivnosti svakodnevnog života prema patološkim stanjima	
M01017	Vježba hoda	
M01018	Obuka hoda sa pomagalom	5153
M01019	Vježbe koordinacije, korekcije i automatizacije balansa hoda	5154
M01020	Vježbe disanja	5155
M01021	Grupne vježbe, po osobi	
M01022	Stimulativne vježbe kod riziko beba	
M01023	Terapija igrom sa djecom i vježbe na spravama	
M01024	Pasivne i potpomognute vježbe	5158
M01025	Aktivne vježbe i vježbe protiv otpora	5159
M01026	Izometrijske vježbe - segmentne	
M01027	Kineziterapija kod djece sa deformacijama kičmenog stuba i grudnog koša ili sa deformacijama ekstremiteta	
M01028	Stimulacija senzomotornog razvoja i oštećenih funkcija CNS specifičnim tehnikama: Vojta, Bobath, Kabath i dr.	
M01029	Test aktivnosti svakodnevnog života	5164
M01030	Obuka pacijenta specifičnim zaštitnim položajima tijela	5165
M01031	Interferentne struje	3259
M01032	Posjeta fizioterapeuta zbog sprovođenja fizikalne terapije kod nepokretnih ili teško pokretnih bolesnika po nalogu izabranog doktora na udaljenosti do 5 km od Doma zdravlja	
M01033	Posjeta fizioterapeuta zbog sprovođenja fizikalne terapije kod nepokretnih ili teško pokretnih bolesnika po nalogu izabranog doktora na udaljenosti od 5 do 15 km od Doma zdravlja	
M01034	Posjeta fizioterapeuta zbog sprovođenja fizikalne terapije kod nepokretnih ili teško pokretnih bolesnika po nalogu izabranog doktora na udaljenosti više od 15 km od Doma zdravlja	
M02008	Magnetoterapija	3265
M02009	Terapija ultrazvukom	3262
M02010	Terapija ultrazvukom u vodi	5142
M02011	Laser terapija	3263
L01001	Patronažna posjeta djeteta u prvoj godini života na zdravstvenom vaspitanju majke i porodice	4985
L01002	Patronažna posjeta kod djeteta u drugoj godini života	4986
L01003	Patronažna posjeta kod djeteta u četvrtoj godini života	4987
L01007	Patronažna posjeta trudnica sa zdravstvenim vaspitanjem (savjetovanje u trudnoći i pripremi za porođaj, o dojenju, pravilnoj ishrani i njezi novorođenčeta (odojčeta))	4991
L01008	Patronažna posjeta kod babinjara sa zdravstvenim vaspitanjem	4992
L01009	Patronažna posjeta kod žena koje više od 3. godine nisu bile kod ginekologa	4993
L01012	Patronažna posjeta osoba starijih od 65 godina, koje tokom kalendarske godine nisu bile kod svog izabranog doktora	4996
L02001	Patronažna posjeta hroničnom bolesniku (oboljelom od urođenog poremećaja zgrušavanja krvi, šećerne bolesti, duševnih bolesti, malignih bolesti i na peritonealnoj dijalizi), osobi sa bolestima zavisnosti i invalidnoj osobi po nalogu ID	
