2218	Kolonoskopija sa anestezijom
2219	Kolonoskopija i gastroskopija sa anestezijom
2220	Biopsija jetre u lokalnoj anesteziji
2221	Operacija vena - jedna noga
2222	Operacija vena - obje noge
2223	Patohistološka analiza hirurgija 1
2224	Patohistološka analiza hirurgija 2
2225	Patohistološka analiza dodatni uzorak 1
2226	Patohistološka analiza dodatni uzorak 2
2227	Specijalistički ginekološki pregled
2228	Specijalistički ginekološki pregled sa ultrazvukom
2229	Subspecijalistički ginekološki pregled
2230	Subspecijalistički ginekološki pregled sa ultrazvukom
2231	Sistematski ginekološki pregled - paket usluga
2232	Kolposkopija (pregled grlića materice)
2233	Ginekološki ultrazvuk
2234	Ekspertski ultrazvuk u trudnoći
2235	Postavljanje intrauterinog uloška (IUD)
2236	Uklanjanje intrauterinog uloška (IUD)
2237	Postavljanje pesara
2238	Biopsija (ginekološki uzorak tkiva)
2239	CTG monitoring (praćenje otkucaja srca ploda i kontrakcija)
2240	Elektrokoagulacija (promjene na grliću materice)
2241	Uzimanje ginekoloških briseva
2242	PAPA test (uzimanje brisa)
2243	Eksplorativna kiretaža bez anestezije
2244	Eksplorativna kiretaža sa anestezijom
2245	Incizija Bartolinijeve žlijezde (drenaža ciste ili apscesa)
2246	Kiretman cervikalnog kanala
2247	Arteficijelni abortus bez anestezije
2248	Arteficijelni abortus sa anestezijom
2249	Loop ekscizija grlića materice bez anestezije
2250	Loop ekscizija grlića materice sa anestezijom
2251	Polipektomija (uklanjanje polipa)
2252	Uklanjanje genitalnih kondiloma I stepen
2253	Uklanjanje genitalnih kondiloma II stepen
2254	Dijagnostička histeroskopija
2255	Hirurška histeroskopija
2256	PRP terapija za vaginalnu rejuvenaciju
2257	HPV test (Human Papilloma Virus)
2258	PAPA test (laboratorijska analiza)
2259	PAPA test sa uzimanjem brisa
2260	PAPA test - tečna citologija (LBC metoda)
2261	Patohistološka analiza - 1 uzorak
2262	Patohistološka analiza - 2 uzorka
2263	Oftalmološki pregled
2264	Hitni oftalmološki pregled
2265	Predoperativni oftalmološki pregled
2266	Kontrolni oftalmološki pregled do 2 sedmice od prvog pregleda
2267	Oftalmološki pregled za meka kontaktna sočiva
2268	Oftalmološki pregled sa UZ i proračunom sočiva
2269	Oftalmološki i strabološki pregled za djecu sa širenjem zenica
2270	Kompletan pregled za glaukom
2271	Oftalmološki ultrazvuk
2272	Mjerenje očnog pritiska
2273	Test za suvo oko (Schirmer test)
2274	Test vidnog polja
2275	OCT pahimetrija (debljina rožnjače)
2276	OCT analiza vidnog živca
2277	OCT zadnjeg segmenta oka (vidni živac + žuta mrlja)
2278	OCT analiza žute mrlje
2279	Dnevni profil očnog pritiska (IOP)
2280	Uklanjanje halaciona kod djece u opštoj anesteziji
2281	Uklanjanje halaciona kod djece i odraslih u lokalnoj anesteziji
2282	Hirurško uklanjanje tumora na kapcima
2283	Operacija izvrnutog kapka (ectropium)
2284	Operacija uvrnutog kapka (entropium)
2285	Operacija viška kože na kapcima (blefaroplastika)
2286	Propiranje i sondiranje suznih puteva kod djece u opštoj anesteziji
2287	Propiranje suznih puteva u ambulantnim uslovima za odrasle
2288	Anti-VEGF injekcija (terapija očne retine)
2289	Laser fotokoagulacija oka - tip 1
2290	Laser fotokoagulacija oka - tip 2
2291	RTG karlice sa kukovima
2292	RTG oba koljena po Rozenbergu
2293	RTG koljena - patela (čašica koljena)
2294	RTG koljena - patele obje noge
2295	RTG oba ramena
2296	RTG sinusa (PNŠ - paranazalne šupljine)
2297	RTG grudnog koša
2298	Kontrolni pregled dermatologa
2299	Kućna posjeta 1
