page	letter	letter_title	code	section_code	section_title	name_sr_lat	price_eur
3	D	OPERACIJE SA ANESTEZIJOM	D02004	D02	OPERACIJE - HIRURGIJA	SPLENEKTOMIJA OBIČNA ILI KOD TRAUMATSKE RUPTURE	834.00
3	D	OPERACIJE SA ANESTEZIJOM	D02005	D02	OPERACIJE - HIRURGIJA	REPARACIJA INGVINALNE HERNIJE,BEZ MREŽICE JEDNOSTRANO	291.90
3	D	OPERACIJE SA ANESTEZIJOM	D02006	D02	OPERACIJE - HIRURGIJA	APENDEKTOMIJA	250.20
3	D	OPERACIJE SA ANESTEZIJOM	D02007	D02	OPERACIJE - HIRURGIJA	EKSPLORACIJA TRBUŠNE DUPLJE (EKSPLORATIVNA LAPAROTOMIJA)	417.00
3	D	OPERACIJE SA ANESTEZIJOM	D02008	D02	OPERACIJE - HIRURGIJA	PARCIJAL GASTREKTOMIJA SA GASTROJEJUN ANASTOMO(BILLROTH II)	1251.00
3	D	OPERACIJE SA ANESTEZIJOM	D02009	D02	OPERACIJE - HIRURGIJA	SUTURA PERFORIRANOG ULKUSA ILI LEZIJE ŽELUCA	667.20
3	D	OPERACIJE SA ANESTEZIJOM	D02010	D02	OPERACIJE - HIRURGIJA	KOLEKTOMIJA,PARCIJALNA SA ANASTOMOZOM SA ILI BEZ PROKSIMALNE	1000.80
3	D	OPERACIJE SA ANESTEZIJOM	D02011	D02	OPERACIJE - HIRURGIJA	SPOLJAŠNJA FISTULIZACIJA DEBELOG CRIJEVA	667.20
3	D	OPERACIJE SA ANESTEZIJOM	D02012	D02	OPERACIJE - HIRURGIJA	DEZINVAGINACIJA CRIJEVA (BEZ RESEKCIJE)	667.20
3	D	OPERACIJE SA ANESTEZIJOM	D02013	D02	OPERACIJE - HIRURGIJA	HOLECISTEKTOMIJA (SA INTRAOPERATIVNOM HOLANGIOGRAFIJOM)	834.00
3	D	OPERACIJE SA ANESTEZIJOM	D02015	D02	OPERACIJE - HIRURGIJA	GASTROJEJUNALNA ANASTOMOZA	834.00
3	D	OPERACIJE SA ANESTEZIJOM	D02016	D02	OPERACIJE - HIRURGIJA	SPOLJAŠ. FISTUL. TANKOG I DEBELOG CRIJEVA ZBOG ULCER.KOLITA	834.00
3	D	OPERACIJE SA ANESTEZIJOM	D02017	D02	OPERACIJE - HIRURGIJA	ODVAJANJE ABDOMINALNIH PRIRASLICA (ILEUS)	1000.80
3	D	OPERACIJE SA ANESTEZIJOM	D02018	D02	OPERACIJE - HIRURGIJA	EKSCIZIJA BENIGNIH TUMORA DOJKE UNILATERALNO	125.10
3	D	OPERACIJE SA ANESTEZIJOM	D02019	D02	OPERACIJE - HIRURGIJA	PRIMARNI ŠAV FLEKSORNE TETIVE	333.60
3	D	OPERACIJE SA ANESTEZIJOM	D02020	D02	OPERACIJE - HIRURGIJA	ZAŠIVANJE CRIJEVA SA KOLOSTOMIJOM	1251.00
3	D	OPERACIJE SA ANESTEZIJOM	D02021	D02	OPERACIJE - HIRURGIJA	GINEKOMASTIJA JEDNOSTRANA	250.20
3	D	OPERACIJE SA ANESTEZIJOM	D02022	D02	OPERACIJE - HIRURGIJA	BIOPSIJA ŽELUCA, SA LAPAROTOMIJOM	500.40
3	D	OPERACIJE SA ANESTEZIJOM	D02023	D02	OPERACIJE - HIRURGIJA	EKSCIZIJA PILONIDALNOG SINUSA ILI CISTE SA PRIMARNIM ŠAVOM	208.50
3	D	OPERACIJE SA ANESTEZIJOM	D02024	D02	OPERACIJE - HIRURGIJA	TOTALNA TIREOIDEKTOMIJA	1251.00
3	D	OPERACIJE SA ANESTEZIJOM	D02026	D02	OPERACIJE - HIRURGIJA	REPARACIJA FEMORALNE HERNIJE, BEZ MREŽICE JEDNOSTRANO	333.60
3	D	OPERACIJE SA ANESTEZIJOM	D02028	D02	OPERACIJE - HIRURGIJA	SUPRAUMBILIKALNA I UMBILIKALNA HERNIJA	333.60
3	D	OPERACIJE SA ANESTEZIJOM	D02029	D02	OPERACIJE - HIRURGIJA	OPERATIVNO LIJEČENJE UKLJEŠTENE HERNIJE BEZ RESEKCIJE CRIJEV	333.60
3	D	OPERACIJE SA ANESTEZIJOM	D02030	D02	OPERACIJE - HIRURGIJA	OPERATIVNO LIJEČENJE UKLJEŠTENE HERNIJE SA RESEKCIJOM CRIJEV	834.00
3	D	OPERACIJE SA ANESTEZIJOM	D02031	D02	OPERACIJE - HIRURGIJA	OPERACIJA MEKEL-DIVERTIKULA	500.40
3	D	OPERACIJE SA ANESTEZIJOM	D02032	D02	OPERACIJE - HIRURGIJA	EVAKUACIJA I DRENAŽA INTRAPERITONEALNIH ABSCESA	166.80
